school_name,year,school_type,province,avg_score,min_score,max_score,total_quota,num_majors
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2022,Công lập,Đắk Lắk,18.81,15.26,21.62,2800,28
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2023,Công lập,Đắk Lắk,19.14,15.65,21.85,2800,28
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2024,Công lập,Đắk Lắk,19.34,15.75,22.08,2800,28
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2025,Công lập,Đắk Lắk,19.38,16.0,22.0,2800,28
BPH-Học Viện Biên Phòng,2020,Công lập,Hà Nội,28.41,26.24,30.0,2700,27
BPH-Học Viện Biên Phòng,2021,Công lập,Hà Nội,28.68,26.49,30.0,2700,27
BPH-Học Viện Biên Phòng,2022,Công lập,Hà Nội,28.0,25.84,29.64,2700,27
BPH-Học Viện Biên Phòng,2023,Công lập,Hà Nội,28.17,25.94,29.74,2700,27
BPH-Học Viện Biên Phòng,2024,Công lập,Hà Nội,28.3,26.04,29.98,2700,27
BPH-Học Viện Biên Phòng,2025,Công lập,Hà Nội,28.32,26.13,29.91,2700,27
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2020,Công lập,Hà Nội,24.05,21.23,26.34,7000,70
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2021,Công lập,Hà Nội,24.51,21.54,26.6,7000,70
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2022,Công lập,Hà Nội,23.37,20.34,25.89,7000,70
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2023,Công lập,Hà Nội,23.66,20.57,26.12,7000,70
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2024,Công lập,Hà Nội,23.84,20.96,26.24,7000,70
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,2025,Công lập,Hà Nội,23.89,21.0,26.21,7000,70
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2020,Công lập,TP.HCM,20.52,16.23,24.29,2700,27
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2021,Công lập,TP.HCM,21.0,16.92,24.77,2700,27
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2022,Công lập,TP.HCM,19.81,15.65,23.56,2700,27
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2023,Công lập,TP.HCM,20.06,15.91,23.9,2700,27
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2024,Công lập,TP.HCM,20.29,16.1,24.09,2700,27
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),2025,Công lập,TP.HCM,20.35,16.25,24.0,2700,27
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2020,Công lập,Hà Nội,15.3,15.0,19.33,33000,330
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2021,Công lập,Hà Nội,15.79,15.45,19.85,33000,330
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2022,Công lập,Hà Nội,15.11,15.0,18.61,33000,330
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2023,Công lập,Hà Nội,15.13,15.0,18.93,33000,330
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2024,Công lập,Hà Nội,15.17,15.0,19.04,33000,330
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,2025,Công lập,Hà Nội,15.15,15.0,19.0,33000,330
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2020,Công lập,Hà Nội,16.65,15.97,18.97,7400,74
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2021,Công lập,Hà Nội,17.15,16.48,19.82,7400,74
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2022,Công lập,Hà Nội,15.95,15.26,18.48,7400,74
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2023,Công lập,Hà Nội,16.25,15.55,18.92,7400,74
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2024,Công lập,Hà Nội,16.46,15.75,18.94,7400,74
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,2025,Công lập,Hà Nội,16.5,16.0,19.0,7400,74
CEA-Trường Đại học Nghệ An,2020,Công lập,Nghệ An,18.77,15.99,25.2,6400,64
CEA-Trường Đại học Nghệ An,2021,Công lập,Nghệ An,19.26,16.47,25.83,6400,64
CEA-Trường Đại học Nghệ An,2022,Công lập,Nghệ An,18.04,15.29,24.37,6400,64
CEA-Trường Đại học Nghệ An,2023,Công lập,Nghệ An,18.35,15.57,24.93,6400,64
CEA-Trường Đại học Nghệ An,2024,Công lập,Nghệ An,18.57,15.76,24.95,6400,64
CEA-Trường Đại học Nghệ An,2025,Công lập,Nghệ An,18.62,16.0,25.0,6400,64
CMC-Trường Đại Học CMC,2020,Công lập,Hà Nội,26.32,23.96,28.84,58400,584
CMC-Trường Đại Học CMC,2021,Công lập,Hà Nội,26.7,24.47,29.15,58400,584
CMC-Trường Đại Học CMC,2022,Công lập,Hà Nội,25.8,23.25,28.42,58400,584
CMC-Trường Đại Học CMC,2023,Công lập,Hà Nội,26.02,23.56,28.6,58400,584
CMC-Trường Đại Học CMC,2024,Công lập,Hà Nội,26.17,23.75,28.73,58400,584
CMC-Trường Đại Học CMC,2025,Công lập,Hà Nội,26.21,24.0,28.66,58400,584
CSH-Học Viện Cảnh Sát Nhân Dân,2020,Quân đội/Công an,Hà Nội,23.18,18.7,26.17,3200,32
CSH-Học Viện Cảnh Sát Nhân Dân,2021,Quân đội/Công an,Hà Nội,23.63,19.16,26.47,3200,32
CSH-Học Viện Cảnh Sát Nhân Dân,2022,Quân đội/Công an,Hà Nội,22.5,18.1,25.71,3200,32
CSH-Học Viện Cảnh Sát Nhân Dân,2023,Quân đội/Công an,Hà Nội,22.77,18.23,25.94,3200,32
CSH-Học Viện Cảnh Sát Nhân Dân,2024,Quân đội/Công an,Hà Nội,23.0,18.44,26.01,3200,32
CSH-Học Viện Cảnh Sát Nhân Dân,2025,Quân đội/Công an,Hà Nội,23.03,18.67,26.01,3200,32
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2020,Quân đội/Công an,Hà Nội,22.65,15.99,26.43,4000,40
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2021,Quân đội/Công an,Hà Nội,23.13,16.46,26.75,4000,40
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2022,Quân đội/Công an,Hà Nội,21.96,15.27,25.94,4000,40
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2023,Quân đội/Công an,Hà Nội,22.26,15.53,26.18,4000,40
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2024,Quân đội/Công an,Hà Nội,22.45,15.78,26.29,4000,40
CSS-Trường Đại Học Cảnh Sát Nhân Dân,2025,Quân đội/Công an,Hà Nội,22.5,15.95,26.28,4000,40
DAD-Trường Đại Học Đông Á,2020,Tư thục,Hà Nội,15.56,15.0,20.71,21600,216
DAD-Trường Đại Học Đông Á,2021,Tư thục,Hà Nội,16.04,15.45,21.33,21600,216
DAD-Trường Đại Học Đông Á,2022,Tư thục,Hà Nội,15.32,15.0,20.09,21600,216
DAD-Trường Đại Học Đông Á,2023,Tư thục,Hà Nội,15.36,15.0,20.39,21600,216
DAD-Trường Đại Học Đông Á,2024,Tư thục,Hà Nội,15.41,15.0,20.62,21600,216
DAD-Trường Đại Học Đông Á,2025,Tư thục,Hà Nội,15.39,15.0,20.5,21600,216
DBD-Trường Đại Học Bình Dương,2020,Công lập,Bình Dương,15.38,15.0,19.34,10800,108
DBD-Trường Đại Học Bình Dương,2021,Công lập,Bình Dương,15.88,15.45,19.78,10800,108
DBD-Trường Đại Học Bình Dương,2022,Công lập,Bình Dương,15.19,15.0,18.58,10800,108
DBD-Trường Đại Học Bình Dương,2023,Công lập,Bình Dương,15.2,15.0,18.87,10800,108
DBD-Trường Đại Học Bình Dương,2024,Công lập,Bình Dương,15.24,15.0,19.13,10800,108
DBD-Trường Đại Học Bình Dương,2025,Công lập,Bình Dương,15.22,15.0,19.0,10800,108
DBG-Trường Đại học Nông Lâm Bắc Giang,2020,Công lập,Bắc Giang,15.65,15.0,19.09,18400,184
DBG-Trường Đại học Nông Lâm Bắc Giang,2021,Công lập,Bắc Giang,16.16,15.45,19.47,18400,184
DBG-Trường Đại học Nông Lâm Bắc Giang,2022,Công lập,Bắc Giang,15.39,15.0,18.34,18400,184
DBG-Trường Đại học Nông Lâm Bắc Giang,2023,Công lập,Bắc Giang,15.45,15.0,18.69,18400,184
DBG-Trường Đại học Nông Lâm Bắc Giang,2024,Công lập,Bắc Giang,15.5,15.0,18.84,18400,184
DBG-Trường Đại học Nông Lâm Bắc Giang,2025,Công lập,Bắc Giang,15.5,15.0,18.75,18400,184
DBL-Trường Đại Học Bạc Liêu,2020,Công lập,Hà Nội,16.48,15.0,27.13,8300,83
DBL-Trường Đại Học Bạc Liêu,2021,Công lập,Hà Nội,16.98,15.45,27.42,8300,83
DBL-Trường Đại Học Bạc Liêu,2022,Công lập,Hà Nội,16.27,15.0,26.74,8300,83
DBL-Trường Đại Học Bạc Liêu,2023,Công lập,Hà Nội,16.31,15.0,26.94,8300,83
DBL-Trường Đại Học Bạc Liêu,2024,Công lập,Hà Nội,16.37,15.0,27.04,8300,83
DBL-Trường Đại Học Bạc Liêu,2025,Công lập,Hà Nội,16.35,15.0,26.99,8300,83
DCD-Trường Đại Học Công Nghệ Đồng Nai,2020,Công lập,Hà Nội,18.04,17.28,23.14,18000,180
DCD-Trường Đại Học Công Nghệ Đồng Nai,2021,Công lập,Hà Nội,18.55,17.79,23.58,18000,180
DCD-Trường Đại Học Công Nghệ Đồng Nai,2022,Công lập,Hà Nội,17.35,16.59,22.4,18000,180
DCD-Trường Đại Học Công Nghệ Đồng Nai,2023,Công lập,Hà Nội,17.64,16.88,22.71,18000,180
DCD-Trường Đại Học Công Nghệ Đồng Nai,2024,Công lập,Hà Nội,17.84,17.09,22.91,18000,180
DCD-Trường Đại Học Công Nghệ Đồng Nai,2025,Công lập,Hà Nội,17.9,17.33,22.8,18000,180
DCH-Trường Sĩ Quan Đặc Công,2020,Quân đội/Công an,Hà Nội,22.14,21.47,22.76,600,6
DCH-Trường Sĩ Quan Đặc Công,2021,Quân đội/Công an,Hà Nội,22.65,21.97,23.29,600,6
DCH-Trường Sĩ Quan Đặc Công,2022,Quân đội/Công an,Hà Nội,21.43,20.75,22.13,600,6
DCH-Trường Sĩ Quan Đặc Công,2023,Quân đội/Công an,Hà Nội,21.86,21.41,22.4,600,6
DCH-Trường Sĩ Quan Đặc Công,2024,Quân đội/Công an,Hà Nội,21.86,21.27,22.53,600,6
DCH-Trường Sĩ Quan Đặc Công,2025,Quân đội/Công an,Hà Nội,22.0,21.5,22.5,600,6
DCL-Trường Đại Học Cửu Long,2020,Công lập,Hà Nội,16.12,15.0,20.83,26900,269
DCL-Trường Đại Học Cửu Long,2021,Công lập,Hà Nội,16.61,15.45,21.31,26900,269
DCL-Trường Đại Học Cửu Long,2022,Công lập,Hà Nội,15.81,15.0,20.14,26900,269
DCL-Trường Đại Học Cửu Long,2023,Công lập,Hà Nội,15.89,15.0,20.4,26900,269
DCL-Trường Đại Học Cửu Long,2024,Công lập,Hà Nội,15.97,15.0,20.64,26900,269
DCL-Trường Đại Học Cửu Long,2025,Công lập,Hà Nội,15.97,15.0,20.5,26900,269
DCN-Đại Học Công Nghiệp Hà Nội,2020,Công lập,Hà Nội,21.35,18.06,26.46,13800,138
DCN-Đại Học Công Nghiệp Hà Nội,2021,Công lập,Hà Nội,21.83,18.57,26.7,13800,138
DCN-Đại Học Công Nghiệp Hà Nội,2022,Công lập,Hà Nội,20.64,17.28,25.95,13800,138
DCN-Đại Học Công Nghiệp Hà Nội,2023,Công lập,Hà Nội,20.95,17.72,26.12,13800,138
DCN-Đại Học Công Nghiệp Hà Nội,2024,Công lập,Hà Nội,21.14,17.85,26.2,13800,138
DCN-Đại Học Công Nghiệp Hà Nội,2025,Công lập,Hà Nội,21.19,18.0,26.27,13800,138
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2020,Công lập,Hà Nội,16.45,15.95,18.26,3800,38
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2021,Công lập,Hà Nội,16.98,16.47,18.82,3800,38
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2022,Công lập,Hà Nội,15.74,15.29,17.47,3800,38
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2023,Công lập,Hà Nội,16.04,15.55,17.9,3800,38
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2024,Công lập,Hà Nội,16.26,15.75,18.11,3800,38
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,2025,Công lập,Hà Nội,16.32,16.0,18.0,3800,38
DCT-Trường Đại Học Công Thương TPHCM,2020,Công lập,TP.HCM,21.4,16.04,24.8,15300,153
DCT-Trường Đại Học Công Thương TPHCM,2021,Công lập,TP.HCM,21.93,16.53,25.25,15300,153
DCT-Trường Đại Học Công Thương TPHCM,2022,Công lập,TP.HCM,20.71,15.28,24.09,15300,153
DCT-Trường Đại Học Công Thương TPHCM,2023,Công lập,TP.HCM,21.01,15.64,24.42,15300,153
DCT-Trường Đại Học Công Thương TPHCM,2024,Công lập,TP.HCM,21.21,15.85,24.53,15300,153
DCT-Trường Đại Học Công Thương TPHCM,2025,Công lập,TP.HCM,21.26,16.0,24.5,15300,153
DCV-Trường Đại học Công nghiệp Vinh,2020,Công lập,Nghệ An,21.43,15.0,28.65,2500,25
DCV-Trường Đại học Công nghiệp Vinh,2021,Công lập,Nghệ An,21.89,15.49,28.98,2500,25
DCV-Trường Đại học Công nghiệp Vinh,2022,Công lập,Nghệ An,21.09,15.0,28.22,2500,25
DCV-Trường Đại học Công nghiệp Vinh,2023,Công lập,Nghệ An,21.21,15.0,28.42,2500,25
DCV-Trường Đại học Công nghiệp Vinh,2024,Công lập,Nghệ An,21.29,15.0,28.57,2500,25
DCV-Trường Đại học Công nghiệp Vinh,2025,Công lập,Nghệ An,21.3,15.0,28.5,2500,25
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2020,Công lập,Đà Nẵng,20.81,17.28,27.43,8800,88
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2021,Công lập,Đà Nẵng,21.3,17.86,27.74,8800,88
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2022,Công lập,Đà Nẵng,20.17,16.55,26.94,8800,88
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2023,Công lập,Đà Nẵng,20.43,16.82,27.16,8800,88
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2024,Công lập,Đà Nẵng,20.61,17.01,27.29,8800,88
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,2025,Công lập,Đà Nẵng,20.67,17.25,27.25,8800,88
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2020,Công lập,Đà Nẵng,21.52,16.49,27.37,12700,127
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2021,Công lập,Đà Nẵng,22.02,16.98,27.65,12700,127
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2022,Công lập,Đà Nẵng,20.86,15.87,26.95,12700,127
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2023,Công lập,Đà Nẵng,21.15,16.23,27.14,12700,127
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2024,Công lập,Đà Nẵng,21.32,16.29,27.25,12700,127
DDK-Trường Đại Học Bách Khoa Đà Nẵng,2025,Công lập,Đà Nẵng,21.38,16.5,27.2,12700,127
DDL-Trường Đại Học Điện Lực,2020,Công lập,Hà Nội,20.68,16.46,23.59,13300,133
DDL-Trường Đại Học Điện Lực,2021,Công lập,Hà Nội,21.18,16.96,24.06,13300,133
DDL-Trường Đại Học Điện Lực,2022,Công lập,Hà Nội,19.99,15.75,22.87,13300,133
DDL-Trường Đại Học Điện Lực,2023,Công lập,Hà Nội,20.28,16.06,23.19,13300,133
DDL-Trường Đại Học Điện Lực,2024,Công lập,Hà Nội,20.49,16.27,23.45,13300,133
DDL-Trường Đại Học Điện Lực,2025,Công lập,Hà Nội,20.53,16.5,23.33,13300,133
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2020,Công lập,Quảng Ninh,15.57,15.0,18.35,5000,50
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2021,Công lập,Quảng Ninh,16.07,15.45,18.75,5000,50
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2022,Công lập,Quảng Ninh,15.24,15.0,17.54,5000,50
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2023,Công lập,Quảng Ninh,15.35,15.0,17.91,5000,50
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2024,Công lập,Quảng Ninh,15.42,15.0,18.07,5000,50
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,2025,Công lập,Quảng Ninh,15.42,15.0,18.0,5000,50
DDN-Trường Đại Học Đại Nam,2020,Công lập,Hà Nội,15.42,15.0,20.77,24900,249
DDN-Trường Đại Học Đại Nam,2021,Công lập,Hà Nội,15.91,15.45,21.32,24900,249
DDN-Trường Đại Học Đại Nam,2022,Công lập,Hà Nội,15.23,15.0,20.07,24900,249
DDN-Trường Đại Học Đại Nam,2023,Công lập,Hà Nội,15.25,15.0,20.43,24900,249
DDN-Trường Đại Học Đại Nam,2024,Công lập,Hà Nội,15.29,15.0,20.62,24900,249
DDN-Trường Đại Học Đại Nam,2025,Công lập,Hà Nội,15.26,15.0,20.5,24900,249
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2020,Công lập,Đà Nẵng,16.41,15.0,24.7,3900,39
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2021,Công lập,Đà Nẵng,16.92,15.46,25.35,3900,39
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2022,Công lập,Đà Nẵng,16.14,15.0,24.21,3900,39
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2023,Công lập,Đà Nẵng,16.21,15.0,24.17,3900,39
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2024,Công lập,Đà Nẵng,16.3,15.0,24.52,3900,39
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,2025,Công lập,Đà Nẵng,16.27,15.0,24.6,3900,39
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2020,Công lập,Đà Nẵng,20.9,19.97,24.17,7600,76
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2021,Công lập,Đà Nẵng,21.37,20.45,24.79,7600,76
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2022,Công lập,Đà Nẵng,20.19,19.28,23.42,7600,76
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2023,Công lập,Đà Nẵng,20.49,19.56,23.88,7600,76
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2024,Công lập,Đà Nẵng,20.69,19.75,24.03,7600,76
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,2025,Công lập,Đà Nẵng,20.75,20.0,24.0,7600,76
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2020,Công lập,Đà Nẵng,24.88,16.73,29.02,10100,101
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2021,Công lập,Đà Nẵng,25.3,17.22,29.3,10100,101
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2022,Công lập,Đà Nẵng,24.34,15.98,28.57,10100,101
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2023,Công lập,Đà Nẵng,24.58,16.33,28.78,10100,101
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2024,Công lập,Đà Nẵng,24.74,16.73,28.88,10100,101
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,2025,Công lập,Đà Nẵng,24.78,16.71,28.84,10100,101
DDT-Đại Học Duy Tân,2020,Công lập,Hà Nội,15.45,15.0,20.79,37200,372
DDT-Đại Học Duy Tân,2021,Công lập,Hà Nội,15.95,15.45,21.24,37200,372
DDT-Đại Học Duy Tân,2022,Công lập,Hà Nội,15.25,15.0,20.14,37200,372
DDT-Đại Học Duy Tân,2023,Công lập,Hà Nội,15.28,15.0,20.43,37200,372
DDT-Đại Học Duy Tân,2024,Công lập,Hà Nội,15.32,15.0,20.57,37200,372
DDT-Đại Học Duy Tân,2025,Công lập,Hà Nội,15.3,15.0,20.5,37200,372
DDU-Trường Đại Học Đông Đô,2020,Công lập,Hà Nội,15.86,15.0,19.21,6400,64
DDU-Trường Đại Học Đông Đô,2021,Công lập,Hà Nội,16.01,15.0,19.8,6400,64
DDU-Trường Đại Học Đông Đô,2022,Công lập,Hà Nội,15.64,15.0,18.57,6400,64
DDU-Trường Đại Học Đông Đô,2023,Công lập,Hà Nội,15.72,15.0,18.82,6400,64
DDU-Trường Đại Học Đông Đô,2024,Công lập,Hà Nội,15.78,15.0,19.13,6400,64
DDU-Trường Đại Học Đông Đô,2025,Công lập,Hà Nội,15.11,14.0,19.0,6400,64
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2020,Công lập,Đà Nẵng,15.6,15.21,16.29,3800,38
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2021,Công lập,Đà Nẵng,16.15,15.72,16.81,3800,38
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2022,Công lập,Đà Nẵng,15.06,15.0,15.54,3800,38
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2023,Công lập,Đà Nẵng,15.23,15.0,15.93,3800,38
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2024,Công lập,Đà Nẵng,15.44,15.04,16.1,3800,38
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,2025,Công lập,Đà Nẵng,15.47,15.15,16.0,3800,38
DDY-Trường Y Dược Đà Nẵng,2020,Công lập,Đà Nẵng,19.34,16.46,23.44,2200,22
DDY-Trường Y Dược Đà Nẵng,2021,Công lập,Đà Nẵng,19.87,17.12,23.99,2200,22
DDY-Trường Y Dược Đà Nẵng,2022,Công lập,Đà Nẵng,18.66,15.81,22.85,2200,22
DDY-Trường Y Dược Đà Nẵng,2023,Công lập,Đà Nẵng,18.96,16.28,23.02,2200,22
DDY-Trường Y Dược Đà Nẵng,2024,Công lập,Đà Nẵng,19.17,16.33,23.27,2200,22
DDY-Trường Y Dược Đà Nẵng,2025,Công lập,Đà Nẵng,19.2,16.5,23.23,2200,22
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2020,Công lập,Hà Nội,15.73,15.0,19.29,2800,28
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2021,Công lập,Hà Nội,16.24,15.45,19.84,2800,28
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2022,Công lập,Hà Nội,15.49,15.0,18.59,2800,28
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2023,Công lập,Hà Nội,15.54,15.0,18.94,2800,28
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2024,Công lập,Hà Nội,15.58,15.0,19.06,2800,28
DFA-Trường Đại học Tài chính Quản trị kinh doanh,2025,Công lập,Hà Nội,15.57,15.0,19.0,2800,28
DHA-Trường Đại học Luật Huế,2020,Công lập,Huế,22.1,21.97,22.31,600,6
DHA-Trường Đại học Luật Huế,2021,Công lập,Huế,22.71,22.46,22.84,600,6
DHA-Trường Đại học Luật Huế,2022,Công lập,Huế,21.4,21.25,21.6,600,6
DHA-Trường Đại học Luật Huế,2023,Công lập,Huế,21.69,21.58,21.89,600,6
DHA-Trường Đại học Luật Huế,2024,Công lập,Huế,22.05,21.92,22.11,600,6
DHA-Trường Đại học Luật Huế,2025,Công lập,Huế,22.0,22.0,22.0,600,6
DHC-Khoa Giáo Dục Thể Chất Huế,2020,Công lập,Huế,21.37,21.37,21.37,100,1
DHC-Khoa Giáo Dục Thể Chất Huế,2021,Công lập,Huế,21.92,21.92,21.92,100,1
DHC-Khoa Giáo Dục Thể Chất Huế,2022,Công lập,Huế,20.81,20.81,20.81,100,1
DHC-Khoa Giáo Dục Thể Chất Huế,2023,Công lập,Huế,21.31,21.31,21.31,100,1
DHC-Khoa Giáo Dục Thể Chất Huế,2024,Công lập,Huế,21.39,21.39,21.39,100,1
DHC-Khoa Giáo Dục Thể Chất Huế,2025,Công lập,Huế,21.41,21.41,21.41,100,1
DHD-Trường Du Lịch - Đại Học Huế,2020,Công lập,Huế,18.88,15.01,21.84,4100,41
DHD-Trường Du Lịch - Đại Học Huế,2021,Công lập,Huế,19.37,15.55,22.34,4100,41
DHD-Trường Du Lịch - Đại Học Huế,2022,Công lập,Huế,18.24,15.0,20.98,4100,41
DHD-Trường Du Lịch - Đại Học Huế,2023,Công lập,Huế,18.51,15.0,21.4,4100,41
DHD-Trường Du Lịch - Đại Học Huế,2024,Công lập,Huế,18.71,15.0,21.6,4100,41
